,YEAR,ACTIVE YEAR,CODE STATUS,TYPE OF VIOLENCE,SIDE A,SIDE B,STATE,LATITUDE,LONGITUDE,NO OF DEATHS FROM SIDE A,NO OF DEATHS FROM SIDE B,NO OF DEATHS OF CIVILIANS,NO OF UNKNOWN DEATHS,TOTAL DEATHS
0,1989,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,32.565,74.676,0,0,0,25,25
1,1990,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,32.565,74.676,0,0,0,17,17
2,1990,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,32.565,74.676,1,5,0,0,6
3,1990,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.77,74.1,0,0,0,0,0
4,1990,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,32.565,74.676,0,0,0,0,0
5,1990,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.77,74.1,0,2,0,0,2
6,1991,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0
7,1991,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.91667,76.66667,1,0,0,0,1
8,1991,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.91667,76.66667,2,0,0,0,2
9,1991,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.91667,76.66667,0,0,0,50,50
10,1991,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.91667,76.66667,0,3,0,0,3
11,1991,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.91667,76.66667,1,0,0,0,1
12,1991,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.666697,73.966538,6,6,0,0,12
13,1991,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.554543,76.135469,0,0,3,0,3
14,1991,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.172363,76.182296,0,0,0,0,0
15,1992,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,32.565,74.676,0,0,0,6,6
16,1992,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0
17,1992,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0
18,1992,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,32.84115,74.462913,3,11,0,0,14
19,1992,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,32.84115,74.462913,0,0,5,0,5
20,1993,0,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.085396,74.234832,0,1,0,0,1
21,1993,0,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,32.565,74.676,0,1,0,0,1
22,1993,0,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,32.565,74.676,0,0,1,0,1
23,1993,0,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0
24,1993,0,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,32.4775,74.857777,0,1,0,0,1
25,1993,0,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,32.565,74.676,1,0,0,0,1
26,1993,0,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.91667,76.66667,0,0,2,0,2
27,1994,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.049509,74.074802,2,0,1,0,3
28,1994,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.339199,74.320461,1,1,0,1,3
29,1996,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,32.565,74.676,0,0,0,25,25
30,1996,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.91667,76.66667,0,0,1,0,1
31,1996,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,32.844283,74.70719,0,0,1,0,1
32,1996,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,32.844283,74.70719,0,3,0,0,3
33,1997,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.525291,76.045486,0,0,2,0,2
34,1997,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.91667,76.66667,2,50,3,0,55
35,1997,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0
36,1997,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.267783,73.990241,2,0,0,0,2
37,1997,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.91667,76.66667,0,0,2,0,2
38,1997,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.91667,76.66667,0,0,1,0,1
39,1997,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.525291,76.045486,0,0,17,0,17
40,1997,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,32.535223,75.100269,0,0,1,0,1
41,1997,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,32.535223,75.100269,0,0,2,0,2
42,1998,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.525291,76.045486,0,0,1,0,1
43,1998,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.636695,74.773751,0,0,2,0,2
44,1998,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.91667,76.66667,0,0,5,0,5
45,1998,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.91667,76.66667,4,0,0,0,4
46,1998,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.643462,74.700154,1,0,0,0,1
47,1998,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.372601,74.167293,0,0,2,0,2
48,1998,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.555794,76.162411,1,0,0,0,1
49,1998,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,32.933277,74.31725,7,0,7,0,14
50,1998,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,32.933277,74.31725,0,0,0,18,18
51,1998,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.91667,76.66667,4,0,0,0,4
52,1998,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.357933,73.739723,0,0,10,0,10
53,1998,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.357933,73.739723,1,0,0,0,1
54,1998,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.19287,74.3692,0,0,3,0,3
55,1998,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.049509,74.074802,0,0,3,0,3
56,1998,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.774468,74.094086,1,0,0,0,1
57,1998,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.049509,74.074802,2,0,3,0,5
58,1998,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.172363,76.182296,0,0,1,0,1
59,1998,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.391819,73.839226,1,0,0,0,1
60,1998,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,32.411076,75.253452,1,0,0,0,1
61,1998,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.596811,76.058362,0,0,2,0,2
62,1998,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.525291,76.045486,1,0,0,0,1
63,1998,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.519325,75.973236,0,0,1,0,1
64,1998,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.525291,76.045486,0,0,1,0,1
65,1998,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,35.10685,77.259474,1,0,0,0,1
66,1998,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.519325,75.973236,2,0,0,0,2
67,1998,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.049509,74.074802,1,0,0,0,1
68,1998,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,35.10685,77.259474,1,0,0,0,1
69,1998,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.774468,74.094086,0,0,1,0,1
70,1998,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,35.10685,77.259474,0,0,0,0,0
71,1998,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,35.10685,77.259474,1,0,0,0,1
72,1998,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.357933,73.739723,0,0,3,0,3
73,1998,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,35.10685,77.259474,0,2,0,0,2
74,1998,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0
75,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34,78,0,5,0,0,5
76,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,35.10685,77.259474,0,2,0,0,2
77,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.656944,76.341667,4,0,0,0,4
78,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.6229,76.4763,4,0,0,0,4
79,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.172363,76.182296,161,0,0,0,161
80,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.519325,75.973236,2,0,0,0,2
81,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.484389,75.658389,3,0,0,0,3
82,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.484389,75.658389,5,0,0,0,5
83,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.484389,75.658389,1,0,0,0,1
84,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.72,76.41,3,0,0,0,3
85,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.72,76.41,2,0,0,0,2
86,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.72,76.41,0,1,0,0,1
87,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.72,76.41,4,2,0,0,6
88,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.464166,75.795833,3,0,0,0,3
89,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.4575,75.629722,6,0,0,0,6
90,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.72,76.41,2,0,0,0,2
91,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.464166,75.795833,3,0,0,0,3
92,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.72,76.41,1,0,0,0,1
93,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.683056,76.645,1,0,0,0,1
94,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.75428,76.61779,0,3,0,0,3
95,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.683056,76.645,0,3,0,0,3
96,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.4575,75.629722,17,0,0,0,17
97,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.519325,75.973236,1,0,0,0,1
98,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.464166,75.795833,6,5,0,0,11
99,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.484389,75.658389,1,0,0,0,1
100,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.4575,75.629722,0,2,0,0,2
101,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.704549,76.489004,18,7,0,0,25
102,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.464166,75.795833,10,9,0,0,19
103,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.464166,75.795833,13,7,0,0,20
104,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.464166,75.795833,3,0,0,0,3
105,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.464166,75.795833,2,0,0,0,2
106,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.464166,75.795833,0,2,0,0,2
107,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.464166,75.795833,0,1,0,0,1
108,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.464166,75.795833,2,2,0,0,4
109,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.464166,75.795833,1,0,0,0,1
110,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.464166,75.795833,0,3,0,0,3
111,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.464166,75.795833,0,12,0,0,12
112,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.704549,76.489004,19,18,0,0,37
113,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.497778,75.466944,7,0,0,0,7
114,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.497778,75.466944,13,6,0,0,19
115,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.497778,75.466944,5,13,0,0,18
116,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.497778,75.466944,0,33,0,0,33
117,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.72,76.41,2,0,0,0,2
118,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.497778,75.466944,1,0,0,0,1
119,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.71,76.55,10,26,0,0,36
120,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.72,76.41,1,22,0,0,23
121,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.71,76.55,4,0,0,0,4
122,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.71,76.55,5,0,0,0,5
123,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.71,76.55,1,0,0,0,1
124,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.71,76.55,1,0,0,0,1
125,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.71,76.55,3,16,0,0,19
126,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.71,76.55,1,0,0,0,1
127,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.71,76.55,1,0,0,0,1
128,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.4575,75.629722,0,1,0,0,1
129,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.484389,75.658389,1,2,0,0,3
130,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.4575,75.629722,31,0,0,0,31
131,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.4575,75.629722,1,0,0,0,1
132,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.484389,75.658389,7,12,0,0,19
133,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.484389,75.658389,16,30,0,0,46
134,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.4575,75.629722,27,17,0,0,44
135,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.4575,75.629722,0,6,0,0,6
136,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.4575,75.629722,1,10,0,0,11
137,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.71,76.55,0,3,0,0,3
138,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.72,76.41,8,0,0,0,8
139,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.484389,75.658389,2,2,0,0,4
140,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.4575,75.629722,0,2,0,0,2
141,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.4575,75.629722,0,6,0,0,6
142,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.4575,75.629722,8,0,0,0,8
143,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.71,76.55,4,25,0,0,29
144,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.4575,75.629722,7,14,0,0,21
145,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.71,76.55,0,3,0,0,3
146,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.4575,75.629722,4,3,0,0,7
147,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.4575,75.629722,1,17,0,0,18
148,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.71,76.55,0,3,0,0,3
149,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.71,76.55,0,7,0,0,7
150,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.72,76.41,0,7,0,0,7
151,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.402706,75.663307,1,0,0,0,1
152,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.4575,75.629722,1,4,0,0,5
153,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.4575,75.629722,0,5,0,0,5
154,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.484389,75.658389,0,5,0,0,5
155,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.72,76.41,0,2,0,0,2
156,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.484389,75.658389,0,1,0,0,1
157,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.358478,75.625633,1,0,0,0,1
158,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.75,74.01,0,1,0,0,1
159,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.041542,74.090244,0,0,1,0,1
160,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.663333,76.915985,23,3,0,0,26
161,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.663333,76.915985,9,0,0,0,9
162,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,32.84115,74.462913,1,0,0,0,1
163,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.037275,74.057915,0,0,2,0,2
164,1999,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.391819,73.839226,0,0,1,0,1
165,2000,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.636695,74.773751,1,0,0,0,1
166,2000,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.525291,76.045486,2,0,0,0,2
167,2000,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,32.84115,74.462913,2,2,1,0,5
168,2000,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,32.84115,74.462913,0,3,0,0,3
169,2000,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.61044,74.13883,3,5,0,0,8
170,2000,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.61044,74.13883,1,0,0,0,1
171,2000,1,Clear,1,Government of India,Government of Pakistan,Rajasthan ,28.01735,73.294078,0,0,1,0,1
172,2000,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.357933,73.739723,0,0,5,0,5
173,2000,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,32.535223,75.100269,0,2,0,4,6
174,2000,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.085396,74.234832,6,0,0,0,6
175,2000,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,32.84115,74.462913,1,0,0,0,1
176,2000,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.77,74.1,0,0,1,0,1
177,2000,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,32.565321,74.698272,0,0,1,0,1
178,2000,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.049509,74.074802,1,0,0,0,1
179,2000,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.392806,73.840566,0,0,1,0,1
180,2000,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.77,74.1,1,0,0,0,1
181,2000,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.034377,74.456611,1,0,0,0,1
182,2000,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.392806,73.840566,0,0,3,0,3
183,2000,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.048964,74.207832,0,0,7,0,7
184,2000,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,32.880953,74.699188,0,0,1,0,1
185,2000,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.372601,74.167293,0,0,1,0,1
186,2000,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.665521,73.960983,1,0,0,0,1
187,2000,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.034377,74.456611,2,3,1,0,6
188,2000,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.17743,74.141637,0,3,0,0,3
189,2000,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.91667,76.66667,0,0,1,0,1
190,2000,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.774468,74.094086,1,2,0,0,3
191,2000,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.049509,74.074802,0,4,0,8,12
192,2000,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.91667,76.66667,2,0,0,0,2
193,2000,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,32.535223,75.100269,1,0,0,0,1
194,2000,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,32.535223,75.100269,1,0,0,0,1
195,2000,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.774468,74.094086,2,0,0,2,4
196,2000,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.049509,74.074802,2,0,3,0,5
197,2000,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.91667,76.66667,0,0,1,0,1
198,2000,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.77,74.1,0,0,1,0,1
199,2000,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.049509,74.074802,0,0,1,0,1
200,2000,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.267783,73.990241,1,10,0,0,11
201,2000,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.91667,76.66667,0,0,1,0,1
202,2000,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.91667,76.66667,0,3,0,0,3
203,2000,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.824521,74.166617,0,0,1,0,1
204,2000,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.192566,74.142417,0,6,0,0,6
205,2000,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.037275,74.057915,2,0,1,0,3
206,2000,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.071279,74.108848,0,0,1,0,1
207,2000,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,32.880953,74.699188,0,0,1,0,1
208,2000,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.085396,74.234832,0,0,0,0,0
209,2000,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.91667,76.66667,5,0,0,0,5
210,2000,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.200697,74.630639,2,0,0,0,2
211,2000,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.636695,74.773751,0,0,1,0,1
212,2000,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.774468,74.094086,2,4,0,0,6
213,2001,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.61044,74.13883,0,0,0,0,0
214,2001,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.762449,74.264114,0,0,2,0,2
215,2001,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.192566,74.142417,1,0,0,0,1
216,2001,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,32.411076,75.253452,1,0,0,0,1
217,2001,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,32.565,74.676,1,0,0,0,1
218,2001,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.085396,74.234832,1,0,0,0,1
219,2001,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.77,74.1,3,0,0,0,3
220,2001,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.085396,74.234832,1,0,0,0,1
221,2001,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.049509,74.074802,1,0,0,0,1
222,2001,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,32.553403,75.110634,3,0,0,0,3
223,2001,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,32.572477,74.668336,2,0,0,0,2
224,2001,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,32.565321,74.698272,0,0,1,0,1
225,2001,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,32.553403,75.110634,0,0,0,0,0
226,2001,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.774468,74.094086,2,0,1,0,3
227,2001,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,32.565,74.676,3,0,1,0,4
228,2001,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.776667,74.097076,0,0,1,0,1
229,2001,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,32.565,74.676,1,0,0,0,1
230,2001,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,32.841097,74.462821,0,4,0,0,4
231,2002,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.085396,74.234832,0,4,0,0,4
232,2002,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.085396,74.234832,2,2,0,0,4
233,2002,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.75,74.01,1,5,0,0,6
234,2002,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.75,74.01,2,0,0,0,2
235,2002,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.04028,74.06458,1,0,0,0,1
236,2002,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,32.478715,74.764663,0,0,1,0,1
237,2002,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.085396,74.234832,1,0,0,0,1
238,2002,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,32.573095,74.676664,0,0,1,0,1
239,2002,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,32.565,74.676,0,0,0,7,7
